unix_timestamp,bid,ask,mid
1759175727.5719666,1.8526,1.8529,1.852750
1759175727.8240528,1.8526,1.8527,1.852650
1759175728.078394,1.8526,1.8527,1.852650
1759175728.3370097,1.8526,1.8527,1.852650
1759175728.6099622,1.8526,1.8527,1.852650
1759175728.874369,1.8526,1.8527,1.852650
1759175729.1274784,1.8526,1.8527,1.852650
1759175729.4824615,1.8518,1.8524,1.852100
1759175729.6269102,1.8519,1.852,1.851950
1759175729.8788214,1.8521,1.8526,1.852350
1759175730.1291249,1.8524,1.8525,1.852450
1759175730.393411,1.8524,1.8525,1.852450
1759175730.653845,1.8524,1.8525,1.852450
1759175730.9135823,1.8524,1.8525,1.852450
1759175731.1644425,1.8526,1.8528,1.852700
1759175731.4217517,1.8527,1.8528,1.852750
1759175731.6767387,1.8527,1.8528,1.852750
1759175731.9329977,1.8523,1.8524,1.852350
1759175732.180055,1.8523,1.8524,1.852350
1759175732.4374642,1.8524,1.8526,1.852500
1759175732.6891894,1.8522,1.8524,1.852300
1759175732.9406393,1.8523,1.8524,1.852350
1759175733.2079978,1.8523,1.8524,1.852350
1759175733.4877021,1.8523,1.8524,1.852350
1759175733.7580292,1.8524,1.8528,1.852600
1759175734.0069711,1.8525,1.8526,1.852550
1759175734.257845,1.8525,1.8526,1.852550
1759175734.623758,1.8525,1.8527,1.852600
1759175734.8795068,1.8526,1.8527,1.852650
1759175735.1371474,1.8526,1.8527,1.852650
1759175735.3975163,1.8523,1.8525,1.852400
1759175735.6491954,1.8521,1.8522,1.852150
1759175735.9042034,1.8521,1.8522,1.852150
1759175736.2103286,1.852,1.8522,1.852100
1759175736.4690676,1.852,1.8521,1.852050
1759175736.748727,1.852,1.8521,1.852050
1759175736.997014,1.852,1.8521,1.852050
1759175737.2559063,1.852,1.8521,1.852050
1759175737.5113857,1.852,1.8521,1.852050
1759175737.7605133,1.852,1.8524,1.852200
1759175738.0126603,1.8522,1.8524,1.852300
1759175738.2929373,1.8523,1.8524,1.852350
1759175738.5393052,1.8523,1.8524,1.852350
1759175738.8374155,1.8522,1.8524,1.852300
1759175739.1060266,1.8522,1.8523,1.852250
1759175739.3633356,1.8522,1.8523,1.852250
1759175739.6142864,1.8522,1.8524,1.852300
1759175739.8652103,1.8522,1.8523,1.852250
1759175740.151112,1.8522,1.8523,1.852250
1759175740.4022133,1.8522,1.8523,1.852250
